Timestamp,Node,Thickness_mm,Temperature_C,Vibration_m_s2,Moisture_percent,Pressure_hPa
2026-09-21 10:00:00,N01,50.12,61.2,0.18,28,1012
2026-09-21 10:00:10,N01,50.04,61.8,0.2,29,1013
2026-09-21 10:00:20,N01,49.97,62.4,0.19,30,1012
2026-09-21 10:00:30,N01,49.91,62.1,0.22,31,1014
2026-09-21 10:00:40,N01,49.84,62.9,0.21,30,1013
2026-09-21 10:00:50,N01,49.76,63.3,0.24,32,1012
2026-09-21 10:01:00,N01,49.69,63.8,0.25,33,1014
2026-09-21 10:01:10,N01,49.6,64.1,0.27,34,1013
2026-09-21 10:01:20,N01,49.51,64.7,0.28,35,1015
2026-09-21 10:01:30,N01,49.43,65,0.3,37,1014
2026-09-21 10:01:40,N01,49.34,65.6,0.32,39,1013
2026-09-21 10:01:50,N01,49.24,66.1,0.34,41,1012
2026-09-21 10:02:00,N01,49.15,66.5,0.36,43,1011
2026-09-21 10:02:10,N01,49.05,67,0.39,46,1010
2026-09-21 10:02:20,N01,48.95,67.4,0.42,49,1009
2026-09-21 10:02:30,N01,48.84,68,0.46,52,1008
2026-09-21 10:02:40,N01,48.73,68.5,0.5,56,1007
2026-09-21 10:02:50,N01,48.61,69.1,0.55,59,1006
2026-09-21 10:03:00,N01,48.5,69.6,0.6,63,1005
2026-09-21 10:03:10,N01,48.39,70.2,0.66,67,1004
2026-09-21 10:03:20,N01,48.28,70.8,0.72,71,1003
2026-09-21 10:03:30,N01,48.15,71.3,0.79,75,1002
2026-09-21 10:03:40,N01,48.02,72,0.86,79,1001
2026-09-21 10:03:50,N01,47.88,72.6,0.94,83,1000
2026-09-21 10:04:00,N01,47.73,73.2,1.02,87,999
2026-09-21 10:04:10,N02,65.18,35.2,0.12,18,1014
2026-09-21 10:04:20,N02,65.09,35.8,0.14,19,1015
2026-09-21 10:04:30,N02,65.01,36.4,0.13,20,1014
2026-09-21 10:04:40,N02,64.93,36.9,0.15,21,1015
2026-09-21 10:04:50,N02,64.84,37.5,0.16,22,1014
2026-09-21 10:05:00,N02,64.75,38,0.17,23,1013
2026-09-21 10:05:10,N02,64.66,38.6,0.18,24,1014
2026-09-21 10:05:20,N02,64.56,39.1,0.19,25,1013
2026-09-21 10:05:30,N02,64.45,39.7,0.2,26,1014
2026-09-21 10:05:40,N02,64.34,40.3,0.21,27,1013
2026-09-21 10:05:50,N02,64.23,40.8,0.23,29,1012
2026-09-21 10:06:00,N02,64.11,41.4,0.25,31,1012
2026-09-21 10:06:10,N02,63.99,42,0.27,34,1011
2026-09-21 10:06:20,N02,63.86,42.6,0.29,37,1010
2026-09-21 10:06:30,N02,63.73,43.2,0.32,40,1009
2026-09-21 10:06:40,N02,63.59,43.8,0.35,44,1008
2026-09-21 10:06:50,N02,63.45,44.4,0.38,48,1007
2026-09-21 10:07:00,N02,63.3,45,0.42,52,1006
2026-09-21 10:07:10,N02,63.14,45.6,0.46,57,1005
2026-09-21 10:07:20,N02,62.98,46.2,0.51,62,1004
2026-09-21 10:07:30,N02,62.81,46.8,0.56,67,1003
2026-09-21 10:07:40,N02,62.63,47.4,0.62,72,1002
2026-09-21 10:07:50,N02,62.44,48,0.68,78,1001
2026-09-21 10:08:00,N02,62.23,48.6,0.75,84,1000
2026-09-21 10:08:10,N02,61.99,49.2,0.82,90,999
2026-09-21 10:08:20,N03,80.14,68.2,0.11,12,1018
2026-09-21 10:08:30,N03,80.04,69,0.13,13,1019
2026-09-21 10:08:40,N03,79.95,69.8,0.12,14,1018
2026-09-21 10:08:50,N03,79.86,70.5,0.14,15,1019
2026-09-21 10:09:00,N03,79.77,71.2,0.15,14,1018
2026-09-21 10:09:10,N03,79.67,72,0.16,16,1017
2026-09-21 10:09:20,N03,79.57,72.8,0.17,17,1018
2026-09-21 10:09:30,N03,79.46,73.5,0.18,16,1017
2026-09-21 10:09:40,N03,79.35,74.2,0.19,18,1018
2026-09-21 10:09:50,N03,79.24,75,0.2,19,1017
2026-09-21 10:10:00,N03,79.12,76.1,0.22,20,1016
2026-09-21 10:10:10,N03,78.99,77,0.24,21,1016
2026-09-21 10:10:20,N03,78.86,78.2,0.27,23,1015
2026-09-21 10:10:30,N03,78.72,79.5,0.31,25,1015
2026-09-21 10:10:40,N03,78.58,81,0.36,28,1014
2026-09-21 10:10:50,N03,78.43,82.2,0.42,31,1013
2026-09-21 10:11:00,N03,78.28,83.5,0.49,34,1012
2026-09-21 10:11:10,N03,78.12,85,0.57,37,1011
2026-09-21 10:11:20,N03,77.95,86.2,0.66,40,1010
2026-09-21 10:11:30,N03,77.77,87.5,0.75,43,1009
2026-09-21 10:11:40,N03,77.58,89,0.86,46,1008
2026-09-21 10:11:50,N03,77.38,90.5,0.98,50,1007
2026-09-21 10:12:00,N03,77.18,92,1.1,54,1006
2026-09-21 10:12:10,N03,76.99,94,1.23,59,1005
2026-09-21 10:12:20,N03,76.8,97,1.37,64,1004
2026-09-21 10:12:30,N04,100.18,105,0.2,10,1020
2026-09-21 10:12:40,N04,100.08,107,0.22,11,1021
2026-09-21 10:12:50,N04,99.98,109,0.21,12,1020
2026-09-21 10:13:00,N04,99.88,111,0.24,12,1021
2026-09-21 10:13:10,N04,99.77,113,0.23,13,1020
2026-09-21 10:13:20,N04,99.66,115,0.26,14,1019
2026-09-21 10:13:30,N04,99.55,117,0.28,15,1020
2026-09-21 10:13:40,N04,99.44,119,0.3,15,1019
2026-09-21 10:13:50,N04,99.32,121,0.29,16,1018
