Node,Thickness_mm,Temperature_C,Vibration_m_s2,Moisture_percent,Pressure_hPa,PipeType,Thickness Warning,Thickness Critical,Temperature,Vibration,Moisture,Pressure
N01,50.12,61.2,0.18,28,1012,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,50.04,61.8,0.2,29,1013,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.97,62.4,0.19,30,1012,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.91,62.1,0.22,31,1014,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.84,62.9,0.21,30,1013,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.76,63.3,0.24,32,1012,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.69,63.8,0.25,33,1014,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.6,64.1,0.27,34,1013,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.51,64.7,0.28,35,1015,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.43,65,0.3,37,1014,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.34,65.6,0.32,39,1013,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.24,66.1,0.34,41,1012,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.15,66.5,0.36,43,1011,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,49.05,67,0.39,46,1010,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.95,67.4,0.42,49,1009,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.84,68,0.46,52,1008,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.73,68.5,0.5,56,1007,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.61,69.1,0.55,59,1006,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.5,69.6,0.6,63,1005,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.39,70.2,0.66,67,1004,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
N01,48.28,70.8,0.72,71,1003,Carbon Steel,< 48.5 mm,< 47.5 mm,> 70 C,> 0.60 m/s,> 60 %,< 1005 hPa
